student_email,assignment_id,score,status,days_late,notes
alice@njit.edu,HW1,92,recorded,0,
alice@njit.edu,HW2,88,recorded,1,
alice@njit.edu,Q1,18,recorded,0,
alice@njit.edu,Q2,20,recorded,0,
alice@njit.edu,Q3,10,recorded,0,
alice@njit.edu,MID,84,recorded,2,
alice@njit.edu,PART,pass,recorded,0,
alice@njit.edu,BONUS,5,recorded,0,
bob@njit.edu,HW1,76,recorded,0,
bob@njit.edu,HW2,81,recorded,0,
bob@njit.edu,Q1,14,recorded,0,
bob@njit.edu,Q2,12,recorded,0,
bob@njit.edu,Q3,16,recorded,0,
bob@njit.edu,MID,55,recorded,4,
bob@njit.edu,PART,fail,recorded,0,
bob@njit.edu,BONUS,1,recorded,0,
carla@njit.edu,HW1,90,recorded,0,
carla@njit.edu,HW2,93,recorded,0,
carla@njit.edu,Q1,18,recorded,0,
carla@njit.edu,Q2,19,recorded,0,
carla@njit.edu,Q3,20,recorded,0,
carla@njit.edu,MID,88,recorded,0,
carla@njit.edu,PART,PASS,recorded,0,
derek@njit.edu,HW1,100,recorded,0,
derek@njit.edu,HW2,100,recorded,0,
derek@njit.edu,Q1,20,recorded,0,
derek@njit.edu,Q2,20,recorded,0,
derek@njit.edu,Q3,20,recorded,0,
derek@njit.edu,MID,100,recorded,0,
derek@njit.edu,PART,pass,recorded,0,
erin@njit.edu,HW1,101,recorded,0,
erin@njit.edu,HW2,,missing,0,
erin@njit.edu,Q1,17,recorded,0,
erin@njit.edu,Q2,15,recorded,0,
erin@njit.edu,Q2,19,recorded,0,corrected
erin@njit.edu,Q3,18,excused,0,
erin@njit.edu,MID,45,recorded,0,
erin@njit.edu,PART,pass,recorded,0,
ghost@njit.edu,HW1,50,recorded,0,unknown student
alice@njit.edu,NOPE,22,recorded,0,unknown assignment
